order_id,order_date,customer_id,product,category,quantity,unit_price,Total Amount
-1,Null,C-003,Laptop,Electronics,3,500,1500
1,March 3 2024,004,Monitor,Electronics,1,100,100
2,2024/04/05,CUST001,Headphones,Electronics,0,50,0
2,March 3 2024,CUST001,Laptop,Electronics,1,300,300
2,01/02/2024,Null,Tablet,Electronics,1,1000,1000
3,Null,C-003,Monitor,Electronics,1,100,100
3,Null,CUST001,Phone,Electronics,1,1000,1000
4,2024/04/05,Null,Laptop,Electronics,1,0,0
5,March 3 2024,Null,Null,Electronics,1,0,0
5,2024/04/05,CUST001,Monitor,Electronics,2,1000,2000
8,2024-01-01,004,Laptop,Electronics,1,0,0
9,Null,CUST002,Tablet,Electronics,3,200,600
9,2024/04/05,CUST001,Monitor,Electronics,0,200,0
11,01/02/2024,Null,Monitor,Electronics,3,0,0
12,March 3 2024,CUST002,Headphones,Electronics,0,0,0
12,01/02/2024,Null,Laptop,Electronics,1,100,100
13,01/02/2024,CUST001,Laptop,Electronics,2,300,600
13,01/02/2024,CUST001,Laptop,Electronics,2,300,600
14,2024-01-01,CUST002,Laptop,Electronics,0,0,0
14,2024/04/05,C-003,Tablet,Electronics,1,100,100
15,2024-01-01,CUST002,Phone,Electronics,3,200,600
15,March 3 2024,CUST002,Tablet,Electronics,2,0,0
15,March 3 2024,Null,Monitor,Electronics,0,50,0
15,2024/04/05,C-003,Laptop,Electronics,0,0,0
15,2024-01-01,CUST002,Null,Electronics,1,50,50
18,01/02/2024,C-003,Laptop,Electronics,1,0,0
21,March 3 2024,004,Headphones,Electronics,0,200,0
21,March 3 2024,C-003,Monitor,Electronics,0,100,0
21,2024/04/05,C-003,Monitor,Electronics,1,50,50
21,March 3 2024,C-003,Monitor,Electronics,0,100,0
22,March 3 2024,Null,Tablet,Electronics,0,0,0
24,Null,CUST001,Laptop,Electronics,2,0,0
24,01/02/2024,004,Headphones,Electronics,0,500,0
27,March 3 2024,CUST002,Tablet,Electronics,2,50,100
27,2024/04/05,Null,Null,Electronics,0,0,0
28,2024-01-01,Null,Tablet,Electronics,2,50,100
28,2024-01-01,CUST002,Headphones,Electronics,3,1000,3000
28,2024-01-01,CUST002,Monitor,Electronics,3,1000,3000
28,Null,004,Monitor,Electronics,1,100,100
28,2024-01-01,CUST002,Monitor,Electronics,3,1000,3000
29,March 3 2024,CUST002,Phone,Electronics,1,1000,1000
30,2024/04/05,004,Phone,Electronics,2,50,100
33,2024/04/05,CUST001,Phone,Electronics,3,500,1500
33,01/02/2024,004,Laptop,Electronics,1,500,500
35,2024-01-01,CUST002,Monitor,Electronics,0,200,0
35,2024-01-01,C-003,Tablet,Electronics,2,200,400
35,2024-01-01,CUST002,Monitor,Electronics,0,200,0
36,Null,Null,Headphones,Electronics,1,500,500
37,01/02/2024,Null,Monitor,Electronics,2,0,0
38,2024-01-01,004,Headphones,Electronics,3,500,1500
38,Null,004,Laptop,Electronics,1,1000,1000
38,Null,004,Laptop,Electronics,1,1000,1000
39,01/02/2024,CUST002,Tablet,Electronics,2,500,1000
39,2024/04/05,Null,Headphones,Electronics,0,300,0
40,Null,CUST002,Monitor,Electronics,2,200,400
40,Null,CUST002,Monitor,Electronics,2,200,400
41,2024/04/05,CUST001,Null,Electronics,0,500,0
41,01/02/2024,CUST001,Null,Electronics,1,200,200
42,Null,C-003,Phone,Electronics,3,100,300
44,2024-01-01,CUST001,Null,Electronics,3,100,300
44,March 3 2024,004,Phone,Electronics,0,300,0
45,March 3 2024,CUST001,Null,Electronics,0,500,0
45,2024/04/05,CUST002,Phone,Electronics,0,200,0
45,March 3 2024,CUST001,Null,Electronics,0,500,0
48,2024/04/05,C-003,Monitor,Electronics,1,50,50
48,01/02/2024,004,Null,Electronics,3,300,900
49,2024-01-01,CUST001,Null,Electronics,1,1000,1000
50,March 3 2024,C-003,Phone,Electronics,1,1000,1000
50,March 3 2024,C-003,Phone,Electronics,1,1000,1000
51,2024-01-01,C-003,Monitor,Electronics,1,0,0
51,March 3 2024,CUST002,Phone,Electronics,0,100,0
51,01/02/2024,CUST002,Tablet,Electronics,1,50,50
51,2024-01-01,C-003,Monitor,Electronics,1,0,0
52,2024/04/05,CUST002,Phone,Electronics,1,100,100
52,Null,CUST002,Headphones,Electronics,1,1000,1000
52,01/02/2024,Null,Laptop,Electronics,1,200,200
53,2024/04/05,Null,Monitor,Electronics,0,100,0
53,Null,CUST002,Phone,Electronics,0,1000,0
53,2024-01-01,Null,Tablet,Electronics,3,100,300
53,2024/04/05,Null,Monitor,Electronics,1,200,200
54,March 3 2024,004,Null,Electronics,0,1000,0
54,2024-01-01,CUST002,Monitor,Electronics,0,500,0
54,2024-01-01,Null,Monitor,Electronics,3,100,300
55,Null,004,Phone,Electronics,0,500,0
58,March 3 2024,004,Null,Electronics,2,300,600
59,Null,CUST001,Phone,Electronics,0,200,0
59,Null,CUST002,Tablet,Electronics,1,1000,1000
60,2024/04/05,004,Phone,Electronics,0,500,0
62,March 3 2024,C-003,Headphones,Electronics,0,0,0
62,01/02/2024,C-003,Tablet,Electronics,1,1000,1000
62,2024/04/05,C-003,Tablet,Electronics,2,500,1000
62,March 3 2024,004,Headphones,Electronics,3,200,600
63,Null,CUST001,Laptop,Electronics,1,50,50
63,2024-01-01,C-003,Phone,Electronics,1,1000,1000
64,March 3 2024,004,Phone,Electronics,3,500,1500
65,Null,CUST001,Laptop,Electronics,1,0,0
65,Null,CUST001,Laptop,Electronics,1,0,0
66,01/02/2024,CUST001,Null,Electronics,0,500,0
66,01/02/2024,CUST001,Null,Electronics,0,500,0
68,2024/04/05,004,Null,Electronics,0,0,0
69,March 3 2024,C-003,Phone,Electronics,3,200,600
70,Null,CUST001,Tablet,Electronics,1,100,100
71,2024/04/05,Null,Monitor,Electronics,1,0,0
71,01/02/2024,004,Null,Electronics,1,1000,1000
72,01/02/2024,004,Phone,Electronics,1,200,200
72,01/02/2024,C-003,Phone,Electronics,3,500,1500
73,01/02/2024,CUST002,Monitor,Electronics,1,1000,1000
75,2024-01-01,CUST001,Laptop,Electronics,3,500,1500
75,2024-01-01,CUST001,Laptop,Electronics,0,500,0
